ID,Codigo,Descripcion,Tipo,FechaExtraccion
333,BTPSF,Box TENS Poli Salud Funcionaria HDATL,E,2026-01-31 18:05:41.380000
334,RP_HDATL1,RECAUDACION PENSIONADO – HDATL,E,2026-01-31 18:05:41.383000
335,RU_HDATL2,RECAUDACION  URGENCIA - HDATL,E,2026-01-31 18:05:41.387000
336,RC_HDATL3,RECAUDACION CENTRAL - HDATL,E,2026-01-31 18:05:41.390000
337,05-102-104,MEDICO QUIRURGICO 1,W,2026-01-31 18:05:41.393000
339,05-102-117,PARTO-PREPARTO RN,W,2026-01-31 18:05:41.397000
340,ENF-ECICEP-HOV,Enfermeria ECICEP HDATL,E,2026-01-31 18:05:41.397000
341,05-102-114,NEONATOLOGIA,W,2026-01-31 18:05:41.400000
342,05-102-105-A,MEDICO QUIRURGICO 2 CIRUGIA,W,2026-01-31 18:05:41.407000
343,05-102-105-B,MEDICO QUIRURGICO 2 MEDICINA,W,2026-01-31 18:05:41.410000
344,05-102-112-A,MEDICO QUIRURGICO 3 MEDICINA,W,2026-01-31 18:05:41.413000
345,05-102-112-B,MEDICO QUIRURGICO 3 UTI,W,2026-01-31 18:05:41.417000
346,05-102-118-A,OBSTETRICIA,W,2026-01-31 18:05:41.417000
347,HDCLOV,UNIDAD DE HOSPITALIZACIÓN DOMICILIARIA,W,2026-01-31 18:05:41.423000
348,05-102-118-B,OBSTETRICIA-GINECOLOGIA,W,2026-01-31 18:05:41.427000
349,05-102-101,PEDIATRIA,W,2026-01-31 18:05:41.427000
350,05-102-102-A,PENSIONADO,W,2026-01-31 18:05:41.430000
351,05-102-102-B,PENSIONADO-MEDICINA,W,2026-01-31 18:05:41.433000
352,05-102-103-A,UTI-NEONATOLOGIA,W,2026-01-31 18:05:41.437000
353,05-102-103-B,UTI-PEDIATRIA,W,2026-01-31 18:05:41.440000
354,05-102-109,PRE-ALTA,W,2026-01-31 18:05:41.440000
355,AS-PF-HOV,Box Asistente Social Policlínico de funcionario HDATL,E,2026-01-31 18:05:41.443000
356,05-102-115,UPC ADULTO-UCI,W,2026-01-31 18:05:41.447000
360,05-102-106,UPC ADULTO-UTI,W,2026-01-31 18:05:41.450000
361,BOX-CHILECC1,Box Matron(a)_Chile Crece HDATL,E,2026-01-31 18:05:41.453000
362,BOX-CHILECC3,Box Asistente Social_ Chile Crece HDATL,E,2026-01-31 18:05:41.460000
363,BOX-CHILECC2,Box Psicologia_ Chile Crece HDATL,E,2026-01-31 18:05:41.463000
364,CSERV-1,Compra de Servicios apoyo HDATL,E,2026-01-31 18:05:41.467000
365,UHIS-1,Unidad HIS-HOV,E,2026-01-31 18:05:41.470000
366,HOVA001,Admisión Hospitalizado,E,2026-01-31 18:05:41.470000
367,1318-PB-N000,Pabellón Central,OP,2026-01-31 18:05:41.473000
368,BOTPAB,BOTIQUIN FARMACIA PABELLÓN ,D,2026-01-31 18:05:41.477000
369,1318-UCMA,UNIDAD CIRUGIA MAYOR AMBULATORIA,W,2026-01-31 18:05:41.480000
370,BOTUCMA,BOTIQUIN FARMACIA UCMA,D,2026-01-31 18:05:41.483000
371,BOTUPA,BOTIQUIN FARMACIA UPA,D,2026-01-31 18:05:41.483000
372,1318-RE-CU000,Recuperación ,W,2026-01-31 18:05:41.487000
373,1318-UPA-PA001,Pabellón ambulatorio/UPA,OP,2026-01-31 18:05:41.490000
374,05-102-124,SERV. PROCEDIMIENTOS AMBULATORIOS,W,2026-01-31 18:05:41.500000
375,PFUN-HDT_105103,Policlinico Accidentes Escolares Laborales HDTAL,E,2026-01-31 18:05:41.503000
376,BOX-CHILECC4,BOX TENS Traumatologia HDATL,E,2026-01-31 18:05:41.507000
377,HOVABOUHCIP,BOTIQUIN DE UHCIP IA,D,2026-01-31 18:05:41.510000
378,HOVABOUHCIPA,BOTIQUIN DE UHCIP ADULTOS,D,2026-01-31 18:05:41.513000
379,BOTIQUINUTICENTRAL,BOTIQUIN DE UTI CENTRAL,D,2026-01-31 18:05:41.517000
380,BOTIQUINUTIMQ3,BOTIQUIN DE UTI MQ3,D,2026-01-31 18:05:41.520000
381,MP,MEDICACION PROPIA,D,2026-01-31 18:05:41.533000
382,HOVAEMEGO,URGENCIA GINECO OBSTETRICA,EM,2026-01-31 18:05:41.533000
383,HOVAEMEIND,URGENCIA INDIFERENCIADA,EM,2026-01-31 18:05:41.537000
384,HOVABUGO,BOTIQUIN UNIDAD DE URGENCIA GINECO-OBSTETRICIA,D,2026-01-31 18:05:41.540000
385,IMP_HDATL,Implantologia HDATL,E,2026-01-31 18:05:41.540000
386,ROPR_HDATL,Rehabilitación Oral Protesis Removible HDATL,E,2026-01-31 18:05:41.543000
387,ROPF_HDATL,Rehabilitación Oral Protesis Fija HDATL,E,2026-01-31 18:05:41.543000
391,BOTREC,BOTIQUIN UNIDAD DE RECUPERACION,D,2026-01-31 18:05:41.547000
392,BOTMHOG,BOTIQUIN MEDICAMENTOS HOSPITALIZACION OBSTETRICIA Y GINECOLOGIA,D,2026-01-31 18:05:41.550000
393,BOTURNPSOG,BOTIQUIN UNIDAD RN PARTO SERVICIO DE OBSTETRICIA Y GINECOLOGIA ,D,2026-01-31 18:05:41.550000
394,BOTURNCSOG,BOTIQUIN DE UNIDAD DE RN  CESARIA SERVICIO OBTETRICIA Y GINECOLOGIA,D,2026-01-31 18:05:41.553000
395,BOTUPPSOG,BOTIQUIN UNIDAD DE PREPARTO Y PARTO SERVICIO OBSTETRICIA Y GINECOLOGIA,D,2026-01-31 18:05:41.560000
396,BOTUPC,BOTIQUIN UPC,D,2026-01-31 18:05:41.560000
397,BOTMQ1,BOTIQUIN MEDICO QUIRURGICO 1,D,2026-01-31 18:05:41.563000
398,BOTMQ2,BOTIQUIN MEDICO QUIRURGICO 2,D,2026-01-31 18:05:41.570000
399,BOTMQ3,BOTIQUIN MEDICO QUIRURGICO 3,D,2026-01-31 18:05:41.573000
400,BOTPENS,BOTIQUIN PENSIONADO,D,2026-01-31 18:05:41.580000
